[LOG] System::create                           : Header version = 1.09.04. Current version = 1.09.04.
[LOG] AsyncThread::threadFunc                  : Starting Asynchronous operation on sound 0000000022BAF8E8
[LOG] AsyncThread::threadFunc                  : Finished Asynchronous operation on sound 0000000022BAF8E8
[LOG] SoundI::release                          : 2 (000000000DE9ACB8)
[LOG] SoundI::release                          : remove stream samples. (000000000DE9ACB8)
[LOG] SoundI::release                          :     2 (00000000687045A8)
[LOG] SoundI::release                          :     done
[LOG] SoundI::release                          : release subsounds. (000000000DE9ACB8)
[LOG] SoundI::release                          :     2 (0000000022BAF8E8)
[LOG] SoundI::release                          :     done
[LOG] SoundI::release                          : release codec. (000000000DE9ACB8)
[LOG] SoundI::release                          : done
